Chalinolobus dwyeri
Acerodon celebensis
Cynopterus brachyotis
Epomophorus wahlbergi
Hypsignathus monstrosus
Nyctimene robinsoni
Pteropus livingstonii
Rousettus egypticus
Aethalops alecto
Aethalops aequalis
Alionycteris paucidentata
Balionycteris maculata
Chironax melanocephalus
Cynopterus horsfieldii
Cynopterus luzoniensis
Cynopterus minutus
Cynopterus nusatenggara
Cynopterus sphinx
Cynopterus titthaecheilus
Dyacopterus brooksi
Dyacopterus rickarti
Dyacopterus spadiceus
Haplonycteris fischeri
Latidens salimalii
Megaerops ecaudatus
Megaerops kusnotoi
Megaerops niphanae
Megaerops wetmorei
Otopteropus cartilagonodus
Penthetor lucasi
Ptenochirus jagori
Ptenochirus minor
Sphaeria blanfordi
Thoopterus nigrescens
Thoopterus suhaniahae
Eidolon dupreanum
Eidolon helvum
Aproteles bulmerae
Boneia bidens
Dobsonia anderseni
Dobsonia beauforti
Dobsonia chapmani
Dobsonia crenulata
Dobsonia emersa
Dobsonia exoleta
Dobsonia inermis
Dobsonia minor
Dobsonia moluccensis
Dobsonia pannietensis
Dobsonia peronii
Dobsonia praedatrix
Dobsonia viridis
Harpyionycteris celebensis
Harpyionycteris whiteheadi
Macroglossus minimus
Macroglossus sobrinus
Notopteris macdonaldi
Notopteris neocaledonica
Syconycteris australis
Syconycteris carolinae
Syconycteris hobbit
Nyctimene aello
Nyctimene albiventer
Nyctimene cephalotes
Nyctimene certans
Nyctimene cyclotis
Nyctimene draconilla
Nyctimene keasti
Nyctimene major
Nyctimene malaitensis
Nyctimene masalai
Nyctimene minutus
Nyctimene rabori
Nyctimene sanctacrucis
Nyctimene vizcaccia
Paranyctimene raptor
Paranyctimene tenax
Acerodon humilis
Acerodon jubatus
Acerodon leucotis
Acerodon mackloti
Desmalopex leucopterus
Desmalopex microleucopterus
Melonycteris fardoulisi
Melonycteris melanops
Melonycteris woodfordi
Mirimiri acrodonta
Neopteryx frosti
Pteralopex anceps
Pteralopex atrata
Pteralopex flanneryi
Pteralopex pulchra
Pteralopex taki
Pteropus admiralitatum
Pteropus aldabrensis
Pteropus alecto
Pteropus allenorum
Pteropus anetianus
Pteropus argentatus
Pteropus aruensis
Pteropus brunneus
Pteropus caniceps
Pteropus capistratus
Pteropus chrysoproctus
Pteropus cognatus
Pteropus conspicillatus
Pteropus coxi
Pteropus dasymallus
Pteropus ennisae
Pteropus faunulus
Pteropus fundatus
Pteropus gilliardorum
Pteropus griseus
Pteropus howensis
Pteropus hypomelanus
Pteropus intermedius
Pteropus keyensis
Pteropus lombocensis
Pteropus loochoensis
Pteropus lylei
Pteropus macrotis
Pteropus mahaganus
Pteropus mariannus
Pteropus medius
Pteropus melanopogon
Pteropus melanotus
Pteropus molossinus
Pteropus neohibernicus
Pteropus niger
Pteropus nitendiensis
Pteropus ocularis
Pteropus ornatus
Pteropus pelagicus
Pteropus pelewensis
Pteropus personatus
Pteropus pilosus
Pteropus pohlei
Pteropus poliocephalus
Pteropus pselaphon
Pteropus pumilus
Pteropus rayneri
Pteropus rennelli
Pteropus rodricensis
Pteropus rufus
Pteropus samoensis
Pteropus scapulatus
Pteropus seychellensis
Pteropus speciosus
Pteropus subniger
Pteropus temminckii
Pteropus tokudae
Pteropus tonganus
Pteropus tuberculatus
Pteropus ualanus
Pteropus vampyrus
Pteropus vetulus
Pteropus voeltzkowi
Pteropus woodfordi
Pteropus yapensis
Styloctenium mindorensis
Styloctenium wallacei
Casinycteris argynnis
Casinycteris campomaanensis
Casinycteris ophiodon
Epomophorus angolensis
Epomophorus anselli
Epomophorus crypturus
Epomophorus dobsonii
Epomophorus gambianus
Epomophorus grandis
Epomophorus labiatus
Epomophorus minimus
Epomophorus minor
Epomops buettikoferi
Epomops franqueti
Eonycteris major
Eonycteris robusta
Eonycteris spelaea
Megaloglossus azagny
Megaloglossus woermanni
Micropteropus intermedius
Micropteropus pusillus
Myonycteris angolensis
Myonycteris brachycephala
Myonycteris leptodon
Myonycteris relicta
Myonycteris torquata
Nanonycteris veldkampii
Plerotes anchietae
Rousettus aegyptiacus
Rousettus amplexicaudatus
Rousettus celebensis
Rousettus lanosus
Rousettus leschenaulti
Rousettus linduensis
Rousettus madagascariensis
Rousettus obliviosus
Rousettus spinalatus
Scotonycteris bergmansi
Scotonycteris occidentalis
Scotonycteris zenkeri
Craseonycteris thonglongyai
