File_Name,Start_Time,End_Time,Duration_Seconds,Duration_Minutes,Duration_Hours
139378_NT_AL_AA,"2025-09-01 12:41:18,821","2025-09-01 14:40:00,269",7121.45,118.69,1.98
1539_NT_AL_AA,"2025-09-01 12:42:20,660","2025-09-01 15:14:10,850",9110.19,151.84,2.53
121006_NT_AL_AA,"2025-09-01 12:41:06,403","2025-09-01 15:28:09,753",10023.35,167.06,2.78
64759_NT_AL_AA,"2025-09-01 12:46:07,186","2025-09-01 15:29:52,922",9825.74,163.76,2.73
3665_NT_AL_AA,"2025-09-01 12:45:02,984","2025-09-01 15:14:40,024",8977.04,149.62,2.49
84886_NT_AL_AA,"2025-09-01 12:48:25,454","2025-09-01 15:22:43,381",9257.93,154.30,2.57
90381_NT_AL_AA,"2025-09-01 13:11:24,217","2025-09-01 13:48:27,889",2223.67,37.06,0.62
100130274_NT_AL_AA,"2025-09-01 12:39:29,356","2025-09-01 13:15:17,610",2148.25,35.80,0.60
319089_NT_AL_AA,"2025-09-01 12:44:02,374","2025-09-01 14:12:49,367",5326.99,88.78,1.48
65250_NT_AL_AA,"2025-09-01 12:46:19,909","2025-09-01 15:40:09,557",10429.65,173.83,2.90
64434_NT_AL_AA,"2025-09-01 12:45:41,924","2025-09-01 13:43:50,590",3488.67,58.14,0.97
84074_NT_AL_AA,"2025-09-01 12:47:36,188","2025-09-01 14:42:21,232",6885.04,114.75,1.91
3603_NT_AL_AA,"2025-09-01 12:44:25,066","2025-09-01 13:26:24,843",2519.78,42.00,0.70
11095_NT_AL_AA,"2025-09-01 12:40:13,476","2025-09-01 13:19:44,797",2371.32,39.52,0.66
22994_NT_AL_AA,"2025-09-01 12:43:07,028","2025-09-01 13:23:21,756",2414.73,40.25,0.67
57597_NT_AL_AA,"2025-09-01 12:45:41,686","2025-09-01 13:34:41,317",2939.63,48.99,0.82
2523_NT_AL_AA,"2025-09-01 12:43:31,966","2025-09-01 14:46:06,070",7354.10,122.57,2.04
54102_NT_AL_AA,"2025-09-01 12:45:41,592","2025-09-01 13:23:35,306",2273.71,37.90,0.63
168090_NT_AL_AA,"2025-09-01 12:42:34,006","2025-09-01 13:13:02,598",1828.59,30.48,0.51
4851_NT_AL_AA,"2025-09-01 12:45:41,677","2025-09-01 13:34:26,710",2925.03,48.75,0.81
1816_NT_AL_AA,"2025-09-01 12:43:07,479","2025-09-01 15:15:57,770",9170.29,152.84,2.55
3454_NT_AL_AA,"2025-09-01 12:44:24,503","2025-09-01 15:16:11,047",9106.54,151.78,2.53
164592_NT_AL_AA,"2025-09-01 12:42:24,390","2025-09-01 14:57:09,954",8085.56,134.76,2.25
83987_NT_AL_AA,"2025-09-01 12:47:28,303","2025-09-01 15:40:16,779",10368.48,172.81,2.88
51252_NT_AL_AA,"2025-09-01 12:45:42,059","2025-09-01 13:24:33,400",2331.34,38.86,0.65
91752_NT_AL_AA,"2025-09-01 13:18:09,956","2025-09-01 13:57:36,373",2366.42,39.44,0.66
256815_NT_AL_AA,"2025-09-01 12:43:29,616","2025-09-01 13:12:55,901",1766.29,29.44,0.49
128061_NT_AL_AA,"2025-09-01 12:41:06,663","2025-09-01 15:06:23,687",8717.02,145.28,2.42
2515_NT_AL_AA,"2025-09-01 12:43:09,362","2025-09-01 14:52:21,444",7752.08,129.20,2.15
63901_NT_AL_AA,"2025-09-01 12:45:42,371","2025-09-01 13:28:27,220",2564.85,42.75,0.71
342125_NT_AL_AA,"2025-09-01 12:44:03,148","2025-09-01 14:59:46,226",8143.08,135.72,2.26
374654_NT_AL_AA,"2025-09-01 12:45:04,562","2025-09-01 13:37:17,904",3133.34,52.22,0.87
11173_NT_AL_AA,"2025-09-01 12:41:05,464","2025-09-01 14:51:04,939",7799.48,129.99,2.17
84689_NT_AL_AA,"2025-09-01 12:48:08,624","2025-09-01 14:37:31,243",6562.62,109.38,1.82
1609_NT_AL_AA,"2025-09-01 12:42:24,200","2025-09-01 15:44:10,829",10906.63,181.78,3.03
283643_NT_AL_AA,"2025-09-01 12:43:39,057","2025-09-01 15:04:00,098",8421.04,140.35,2.34
238_NT_AL_AA,"2025-09-01 12:43:09,692","2025-09-01 15:36:39,772",10410.08,173.50,2.89
79925_NT_AL_AA,"2025-09-01 12:47:17,282","2025-09-01 15:05:15,981",8278.70,137.98,2.30
100129271_NT_AL_AA,"2025-09-01 12:39:29,672","2025-09-01 14:38:18,832",7129.16,118.82,1.98
399693_NT_AL_AA,"2025-09-01 12:45:29,477","2025-09-01 14:59:08,829",8019.35,133.66,2.23
7984_NT_AL_AA,"2025-09-01 12:47:07,139","2025-09-01 14:58:28,826",7881.69,131.36,2.19
26505_NT_AL_AA,"2025-09-01 12:43:33,493","2025-09-01 15:21:43,706",9490.21,158.17,2.64
26153_NT_AL_AA,"2025-09-01 12:43:33,328","2025-09-01 15:24:57,394",9684.07,161.40,2.69
100131017_NT_AL_AA,"2025-09-01 12:40:00,043","2025-09-01 13:16:21,389",2181.35,36.36,0.61
57188_NT_AL_AA,"2025-09-01 12:45:41,514","2025-09-01 13:31:34,869",2753.36,45.89,0.76
148870_NT_AL_AA,"2025-09-01 12:41:22,592","2025-09-01 13:01:51,372",1228.78,20.48,0.34
151649_NT_AL_AA,"2025-09-01 12:41:58,830","2025-09-01 13:16:53,127",2094.30,34.90,0.58
