File_Name,Start_Time,End_Time,Duration_Seconds,Duration_Minutes,Duration_Hours
139378_NT_AL_AA,"2025-09-01 12:36:56,455","2025-09-01 18:06:24,764",19768.31,329.47,5.49
1539_NT_AL_AA,"2025-09-01 12:36:56,819","2025-09-02 06:35:09,111",64692.29,1078.20,17.97
121006_NT_AL_AA,"2025-09-01 12:36:56,438","2025-09-01 17:37:46,777",18050.34,300.84,5.01
64759_NT_AL_AA,"2025-09-01 12:36:56,861","2025-09-02 07:24:32,988",67656.13,1127.60,18.79
3665_NT_AL_AA,"2025-09-01 12:36:21,409","2025-09-02 13:23:44,561",89243.15,1487.39,24.79
84886_NT_AL_AA,"2025-09-01 12:37:12,746","2025-09-01 18:26:05,621",20932.88,348.88,5.81
90381_NT_AL_AA,"2025-09-01 12:37:13,102","2025-09-02 10:55:54,887",80321.79,1338.70,22.31
100130274_NT_AL_AA,"2025-09-01 12:36:56,366","2025-09-01 18:08:58,597",19922.23,332.04,5.53
319089_NT_AL_AA,"2025-09-01 12:36:21,526","2025-09-02 11:25:15,463",82133.94,1368.90,22.81
65250_NT_AL_AA,"2025-09-01 12:36:56,498","2025-09-01 18:32:00,713",21304.22,355.07,5.92
64434_NT_AL_AA,"2025-09-01 12:36:56,995","2025-09-02 07:49:47,184",69170.19,1152.84,19.21
84074_NT_AL_AA,"2025-09-01 12:36:57,090","2025-09-02 06:50:59,538",65642.45,1094.04,18.23
3603_NT_AL_AA,"2025-09-01 12:36:21,357","2025-09-02 12:42:32,884",86771.53,1446.19,24.10
11095_NT_AL_AA,"2025-09-01 12:36:56,366","2025-09-01 19:50:04,058",25987.69,433.13,7.22
22994_NT_AL_AA,"2025-09-01 12:36:56,933","2025-09-02 03:53:13,534",54976.60,916.28,15.27
57597_NT_AL_AA,"2025-09-01 12:36:56,414","2025-09-01 19:10:35,880",23619.47,393.66,6.56
2523_NT_AL_AA,"2025-09-01 12:36:57,023","2025-09-02 07:30:47,405",68030.38,1133.84,18.90
54102_NT_AL_AA,"2025-09-01 12:36:21,415","2025-09-02 00:04:53,581",41312.17,688.54,11.48
168090_NT_AL_AA,"2025-09-01 12:36:56,943","2025-09-02 09:49:11,739",76334.80,1272.25,21.20
4851_NT_AL_AA,"2025-09-01 12:36:21,302","2025-09-02 08:39:53,051",72211.75,1203.53,20.06
1816_NT_AL_AA,"2025-09-01 12:36:56,953","2025-09-02 08:41:20,478",72263.52,1204.39,20.07
3454_NT_AL_AA,"2025-09-01 12:36:21,455","2025-09-02 13:17:30,977",88869.52,1481.16,24.69
164592_NT_AL_AA,"2025-09-01 12:36:56,851","2025-09-02 10:14:49,557",77872.71,1297.88,21.63
83987_NT_AL_AA,"2025-09-01 12:36:56,431","2025-09-01 18:42:10,698",21914.27,365.24,6.09
51252_NT_AL_AA,"2025-09-01 12:36:21,453","2025-09-01 22:36:01,550",35980.10,599.67,9.99
91752_NT_AL_AA,"2025-09-01 12:37:13,105","2025-09-02 03:06:30,994",52157.89,869.30,14.49
256815_NT_AL_AA,"2025-09-01 12:36:21,411","2025-09-02 06:24:56,788",64115.38,1068.59,17.81
128061_NT_AL_AA,"2025-09-01 12:36:56,515","2025-09-01 18:04:10,791",19634.28,327.24,5.45
2515_NT_AL_AA,"2025-09-01 12:36:56,976","2025-09-02 06:00:35,223",62618.25,1043.64,17.39
63901_NT_AL_AA,"2025-09-01 12:36:56,377","2025-09-01 16:40:57,656",14641.28,244.02,4.07
342125_NT_AL_AA,"2025-09-01 12:36:21,310","2025-09-02 13:59:40,157",91398.85,1523.31,25.39
374654_NT_AL_AA,"2025-09-01 12:36:21,516","2025-09-02 12:04:08,497",84466.98,1407.78,23.46
11173_NT_AL_AA,"2025-09-01 12:36:56,366","2025-09-01 18:41:01,544",21845.18,364.09,6.07
84689_NT_AL_AA,"2025-09-01 12:36:56,449","2025-09-01 18:06:16,180",19759.73,329.33,5.49
1609_NT_AL_AA,"2025-09-01 12:36:56,995","2025-09-02 07:50:02,109",69185.11,1153.09,19.22
283643_NT_AL_AA,"2025-09-01 12:36:21,308","2025-09-02 14:04:13,847",91672.54,1527.88,25.46
238_NT_AL_AA,"2025-09-01 12:36:56,820","2025-09-02 04:45:45,001",58128.18,968.80,16.15
79925_NT_AL_AA,"2025-09-01 12:36:57,020","2025-09-02 07:02:24,628",66327.61,1105.46,18.42
100129271_NT_AL_AA,"2025-09-01 12:36:21,321","2025-09-02 06:16:19,219",63597.90,1059.96,17.67
399693_NT_AL_AA,"2025-09-01 12:36:21,302","2025-09-02 10:07:31,797",77470.49,1291.17,21.52
7984_NT_AL_AA,"2025-09-01 12:36:56,820","2025-09-02 04:24:12,569",56835.75,947.26,15.79
26505_NT_AL_AA,"2025-09-01 12:36:21,308","2025-09-02 10:58:00,924",80499.62,1341.66,22.36
26153_NT_AL_AA,"2025-09-01 12:36:21,305","2025-09-02 12:00:01,418",84220.11,1403.67,23.39
100131017_NT_AL_AA,"2025-09-01 12:36:56,485","2025-09-01 19:14:36,986",23860.50,397.68,6.63
57188_NT_AL_AA,"2025-09-01 12:36:21,544","2025-09-01 22:30:31,025",35649.48,594.16,9.90
148870_NT_AL_AA,"2025-09-01 12:36:56,469","2025-09-01 16:30:04,824",13988.35,233.14,3.89
151649_NT_AL_AA,"2025-09-01 12:36:56,943","2025-09-02 05:09:20,215",59543.27,992.39,16.54
