File_Name,Start_Time,End_Time,Duration_Seconds,Duration_Minutes,Duration_Hours
139378_NT_AL_AA,"2025-09-01 12:35:39,706","2025-09-02 16:10:57,666",99317.96,1655.30,27.59
1539_NT_AL_AA,"2025-09-01 12:35:39,786","2025-09-02 06:55:06,052",65966.27,1099.44,18.32
121006_NT_AL_AA,"2025-09-01 12:35:39,751","2025-09-03 00:33:59,913",129500.16,2158.34,35.97
64759_NT_AL_AA,"2025-09-01 12:35:40,231","2025-09-02 07:29:23,286",68023.05,1133.72,18.90
3665_NT_AL_AA,"2025-09-01 12:35:40,326","2025-09-02 13:33:28,545",89868.22,1497.80,24.96
84886_NT_AL_AA,"2025-09-01 12:37:05,440","2025-09-01 18:26:47,573",20982.13,349.70,5.83
90381_NT_AL_AA,"2025-09-01 12:37:05,041","2025-09-02 10:57:36,180",80431.14,1340.52,22.34
100130274_NT_AL_AA,"2025-09-01 12:35:39,783","2025-09-01 18:15:10,049",20370.27,339.50,5.66
319089_NT_AL_AA,"2025-09-01 12:35:39,926","2025-09-02 11:29:37,469",82437.54,1373.96,22.90
65250_NT_AL_AA,"2025-09-01 12:35:40,278","2025-09-02 21:46:13,675",119433.40,1990.56,33.18
64434_NT_AL_AA,"2025-09-01 12:35:39,817","2025-09-02 08:23:44,824",71285.01,1188.08,19.80
84074_NT_AL_AA,"2025-09-01 12:35:39,793","2025-09-03 04:08:16,825",142357.03,2372.62,39.54
3603_NT_AL_AA,"2025-09-01 12:35:40,021","2025-09-02 14:05:38,474",91798.45,1529.97,25.50
11095_NT_AL_AA,"2025-09-01 12:35:39,737","2025-09-01 19:58:04,745",26545.01,442.42,7.37
22994_NT_AL_AA,"2025-09-01 12:35:39,786","2025-09-02 04:52:50,951",58631.17,977.19,16.29
57597_NT_AL_AA,"2025-09-01 12:35:39,916","2025-09-02 11:34:55,869",82755.95,1379.27,22.99
2523_NT_AL_AA,"2025-09-01 12:35:39,806","2025-09-02 07:32:09,697",68189.89,1136.50,18.94
54102_NT_AL_AA,"2025-09-01 12:35:39,930","2025-09-02 00:24:33,398",42533.47,708.89,11.81
168090_NT_AL_AA,"2025-09-01 12:35:39,848","2025-09-02 11:26:20,404",82240.56,1370.68,22.84
4851_NT_AL_AA,"2025-09-01 12:35:39,960","2025-09-02 18:35:45,751",108005.79,1800.10,30.00
1816_NT_AL_AA,"2025-09-01 12:35:39,750","2025-09-02 10:50:10,687",80070.94,1334.52,22.24
3454_NT_AL_AA,"2025-09-01 12:35:39,911","2025-09-02 13:26:34,880",89454.97,1490.92,24.85
164592_NT_AL_AA,"2025-09-01 12:35:39,806","2025-09-02 10:35:16,918",79177.11,1319.62,21.99
83987_NT_AL_AA,"2025-09-01 12:35:39,654","2025-09-01 18:43:01,727",22042.07,367.37,6.12
51252_NT_AL_AA,"2025-09-01 12:35:39,854","2025-09-01 22:39:53,294",36253.44,604.22,10.07
91752_NT_AL_AA,"2025-09-01 12:37:05,000","2025-09-02 04:45:19,054",58094.05,968.23,16.14
256815_NT_AL_AA,"2025-09-01 12:35:40,424","2025-09-02 06:37:27,463",64907.04,1081.78,18.03
128061_NT_AL_AA,"2025-09-01 12:35:39,751","2025-09-01 18:07:05,772",19886.02,331.43,5.52
2515_NT_AL_AA,"2025-09-01 12:35:39,786","2025-09-02 06:24:01,909",64102.12,1068.37,17.81
63901_NT_AL_AA,"2025-09-01 12:35:39,695","2025-09-01 16:44:45,388",14945.69,249.09,4.15
342125_NT_AL_AA,"2025-09-01 12:35:40,345","2025-09-02 14:01:42,012",91561.67,1526.03,25.43
374654_NT_AL_AA,"2025-09-01 12:35:40,014","2025-09-02 13:37:34,691",90114.68,1501.91,25.03
11173_NT_AL_AA,"2025-09-01 12:35:39,864","2025-09-01 21:51:46,044",33366.18,556.10,9.27
84689_NT_AL_AA,"2025-09-01 12:35:40,258","2025-09-01 18:07:33,858",19913.60,331.89,5.53
1609_NT_AL_AA,"2025-09-01 12:35:39,897","2025-09-02 11:22:16,396",81996.50,1366.61,22.78
283643_NT_AL_AA,"2025-09-01 12:35:40,387","2025-09-02 14:04:23,113",91722.73,1528.71,25.48
238_NT_AL_AA,"2025-09-01 12:35:39,731","2025-09-02 04:57:17,233",58897.50,981.63,16.36
79925_NT_AL_AA,"2025-09-01 12:35:39,752","2025-09-02 07:33:52,965",68293.21,1138.22,18.97
100129271_NT_AL_AA,"2025-09-01 12:35:40,732","2025-09-02 07:05:23,254",66582.52,1109.71,18.50
399693_NT_AL_AA,"2025-09-01 12:35:39,985","2025-09-02 10:13:12,166",77852.18,1297.54,21.63
7984_NT_AL_AA,"2025-09-01 12:35:39,765","2025-09-02 04:33:20,113",57460.35,957.67,15.96
26505_NT_AL_AA,"2025-09-01 12:35:40,338","2025-09-02 13:05:36,839",88196.50,1469.94,24.50
26153_NT_AL_AA,"2025-09-01 12:35:40,099","2025-09-02 12:01:14,705",84334.61,1405.58,23.43
100131017_NT_AL_AA,"2025-09-01 12:35:39,695","2025-09-01 19:17:43,311",24123.62,402.06,6.70
57188_NT_AL_AA,"2025-09-01 12:35:39,906","2025-09-02 00:23:29,245",42469.34,707.82,11.80
148870_NT_AL_AA,"2025-09-01 12:35:39,813","2025-09-01 16:38:31,025",14571.21,242.85,4.05
151649_NT_AL_AA,"2025-09-01 12:35:40,252","2025-09-02 05:49:21,083",62020.83,1033.68,17.23
